100003353,Cook's Illustrated 2005 (Cook's Illustrated Annuals),Cook's Illustrated Magazine,1,206,2005,9736,173,7
100003354,Posing for Portrait Photography: A Head-To-Toe Guide,Jeff   Smith,1,124,2004,9737,,7
100003355,Portrait Photographer's Handbook,Bill Hurter,1,128,2004,9738,,7
100003356,The Known World,Edward P. Jones,1,388,2006,9739,604,13
100003357,sex.lies.murder.fame.,Lolita Files,1,368,2006,9739,,17
100003358,The White Masai,Corinne Hofmann/Peter Millar,1,320,2006,9739,,14
100003359,The Pursuit of Happyness,Chris Gardner,1,320,2006,9739,,16
100003360,All Aunt Hagar's Children: Stories,Edward P. Jones,1,399,2006,9739,,15
100003361,Their Eyes Were Watching God,Zora Neale Hurston,1,219,2006,9739,,11
100003362,Jonah's Gourd Vine,Zora Neale Hurston,1,229,1990,9739,298,5
100003363,The Complete Stories,Zora Neale Hurston/Henry Louis Gates Jr./Sieglinde Lemke,1,336,1996,9739,671,13
100003364,Every Tongue Got to Confess: Negro Folk-tales from the Gulf States,Zora Neale Hurston/Carla Kaplan/John Edgar Wideman,1,320,2002,9739,,8
100003365,Monster,Walter Dean Myers,1,281,2019,9739,31,6
100003366,Lost in the City,Edward P. Jones,1,268,2004,9740,775,8
100003367,The Leadership Challenge: Skills for Taking Charge,Warren G. Bennis,1,60,1985,9741,,2
100003368,Formas breves,Ricardo Piglia,9,144,2001,9742,,6
100003369,El último lector,Ricardo Piglia,9,209,2009,9742,,9
100003370,Respiración artificial,Ricardo Piglia,9,218,2008,9742,549,5
100003371,Plata quemada,Ricardo Piglia,9,227,2005,9742,,10
100003372,Relatos de lo inesperado,Roald Dahl/Carmelina Payá/Antonio Samons,9,320,2016,9742,,14
100003373,Pedro Páramo,Juan Rulfo,9,122,2013,9742,,5
100003374,La máquina de follar,Charles Bukowski,9,190,1995,9742,557,6
100003375,The Da Vinci Code (Robert Langdon  #2),Dan Brown,1,489,2006,9743,,12
100003376,The Birth of Tragedy/The Genealogy of Morals,Friedrich Nietzsche/Francis Golffing,1,320,1990,9743,,12
100003377,Stranger than Fiction,Chuck Palahniuk,1,233,2005,9743,,12
100003378,The Da Vinci Code,Dan Brown,1,489,2006,9743,2,20
100003379,Saturday,Ian McEwan,1,289,2006,9743,542,8
100003380,Children of the Alley,Naguib Mahfouz/Peter Theroux,1,464,1996,9743,,12
100003381,Akhenaten: Dweller in Truth,Naguib Mahfouz/Tagreid Abu-Hassabo,1,168,2000,9743,940,4
100003382,The Day the Leader Was Killed,Naguib Mahfouz/Surgana/Naguib Mahfouz,1,112,2000,9743,,4
100003383,Child of War  Woman of Peace,Le Ly Hayslip/James Hayslip/Jenny Wurts,1,388,1993,9743,,17
100003384,Providence of a Sparrow: Lessons from a Life Gone to the Birds,Chris Chester,1,304,2004,9743,338,8
100003385,The Child in Time,Ian McEwan,1,263,1999,9743,,8
100003386,Black Dogs,Ian McEwan,1,149,1998,9743,,4
100003387,The Comfort of Strangers,Ian McEwan,1,128,1994,9743,557,7
100003388,In the Company of Cheerful Ladies (No. 1 Ladies' Detective Agency  #6),Alexander McCall Smith,1,256,2006,9743,654,7
100003389,The Girl in the Flammable Skirt,Aimee Bender,1,192,1999,9743,919,7
100003390,101 Stories of the Great Ballets: The Scene-by-Scene Stories of the Most Popular Ballets  Old and New,George Balanchine/Francis Mason,1,560,1975,9743,649,16
100003391,Traveling Mercies: Some Thoughts on Faith,Anne Lamott,1,275,2000,9743,273,8
